DATE_ENTRY,DIRECTION,ENTRY_PRICE,DATE_EXIT,EXIT_PRICE
2016-04-27,SHORT,456.39,2017-03-20,1036.31
2017-03-20,LONG,1036.31,2017-05-10,1692.3
2017-05-10,SHORT,1692.3,2018-04-07,6763
2018-04-07,LONG,6763,2018-04-25,8928
2018-04-25,SHORT,8928,2018-10-13,6436.5
2018-10-13,LONG,6436.5,2019-01-07,4001
2019-01-07,SHORT,4001,2019-08-23,10135.5
2019-08-23,LONG,10135.5,2020-01-19,8727.5
2020-01-19,SHORT,8727.5,2020-03-13,5338.5
2020-03-13,LONG,5338.5,2020-06-02,9799
2020-06-02,SHORT,9799,2020-07-17,9219
2020-07-17,LONG,9219,2021-02-21,48923.5
2021-02-21,SHORT,48923.5,2021-03-26,55788.5
2021-03-26,LONG,55788.5,2021-04-16,56258.5
2021-04-16,SHORT,56258.5,2021-04-25,55050.5
2021-04-25,LONG,55050.5,2021-07-30,39810.5
2021-07-30,SHORT,39810.5,2021-12-06,50493.5
2021-12-06,LONG,50493.5,2022-07-21,22442
2022-07-21,SHORT,22442,2022-09-07,21363.5
2022-09-07,LONG,21363.5,2022-10-31,20137.5
2022-10-31,SHORT,20137.5,2022-11-15,16689.5
2022-11-15,LONG,16689.5,2023-01-16,20671
2023-01-16,SHORT,20671,2023-06-15,26497.5
2023-06-15,LONG,26497.5,2023-06-24,30250.5
2023-06-24,SHORT,30250.5,2023-08-23,26037
2023-08-23,LONG,26037,2024-01-10,42712
2024-01-10,SHORT,42712,2024-05-03,63989
2024-05-03,LONG,63989,2024-09-30,60617.6
2024-09-30,SHORT,60617.6,2025-02-12,97470.2
2025-02-12,LONG,97470.2,2025-04-13,83600.1
2025-04-13,SHORT,83600.1,2025-06-21,105366.8
2025-06-21,LONG,105366.8,2025-07-12,117819.9